"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility"
"2020-03-02","SXO   200417C1110.00","SXO","SXO","TX60",1110,"2020-04-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.234
"2020-03-02","SXO   200515C970.00","SXO","SXO","TX60",970,"2020-05-15",0,0,0,0,0,0,30.2,0,20.6,0,0,0,0,0,0,30.2,0,0
"2020-03-02","SXO   200515C980.00","SXO","SXO","TX60",980,"2020-05-15",0,0,0,0,0,0,24.2,0,15.9,0,0,0,0,0,0,24.2,0,0
"2020-03-02","SXO   200515C990.00","SXO","SXO","TX60",990,"2020-05-15",0,0,0,0,0,0,19,0,12.1,0,0,0,0,0,0,19,0,0
"2020-03-02","SXO   200515C1000.00","SXO","SXO","TX60",1000,"2020-05-15",0,0,0,0,0,0,14.6,0,8.9,0,0,0,0,0,0,14.6,0,0.297
"2020-03-02","SXO   200515C1010.00","SXO","SXO","TX60",1010,"2020-05-15",0,0,0,0,0,0,10.9,0,6.5,0,0,0,0,0,0,10.9,0,0.731
"2020-03-02","SXO   200515C1020.00","SXO","SXO","TX60",1020,"2020-05-15",0,0,0,0,0,0,8,0,4.6,0,0,0,0,0,0,8,0,1.067
"2020-03-02","SXO   200515C1030.00","SXO","SXO","TX60",1030,"2020-05-15",0,0,0,0,0,0,5.8,0,3.2,0,0,0,0,0,0,5.8,0,1.386
"2020-03-02","SXO   200515C1040.00","SXO","SXO","TX60",1040,"2020-05-15",0,0,0,0,0,0,4,0,2.1,0,0,0,0,0,0,4,0,1.691
"2020-03-02","SXO   200515C1050.00","SXO","SXO","TX60",1050,"2020-05-15",0,0,0,0,0,0,2.8,0,1.4,0,0,0,0,0,0,2.8,0,1.987
"2020-03-02","SXO   200515C1060.00","SXO","SXO","TX60",1060,"2020-05-15",0,0,0,0,0,0,1.9,0,0.9,0,0,0,0,0,0,1.9,0,2.75
"2020-03-02","SXO   200515C1070.00","SXO","SXO","TX60",1070,"2020-05-15",0,0,0,0,0,0,1.2,0,0.6,0,0,0,0,0,0,1.2,0,3.074
"2020-03-02","SXO   200515C1080.00","SXO","SXO","TX60",1080,"2020-05-15",0,0,0,0,0,0,0.8,0,0.4,0,0,0,0,0,0,0.8,0,3.389
"2020-03-02","SXO   200515C1090.00","SXO","SXO","TX60",1090,"2020-05-15",0,0,0,0,0,0,0.5,0,0.2,0,0,0,0,0,0,0.5,0,3.695
"2020-03-02","SXO   200515C1100.00","SXO","SXO","TX60",1100,"2020-05-15",0,0,0,0,0,0,121.03,0,137.85,0,0,0,0,0,0,121.03,0,3.994
"2020-03-02","SXO   200515C1110.00","SXO","SXO","TX60",1110,"2020-05-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285
"2020-03-02","SXO   200619C950.00","SXO","SXO","TX60",950,"2020-06-19",0,0,0,0,0,0,47.5,0,35.9,0,0,0,0,0,0,47.5,0,0
"2020-03-02","SXO   200619C960.00","SXO","SXO","TX60",960,"2020-06-19",0,0,0,0,0,0,40.4,0,29.9,0,0,0,0,0,0,40.4,0,0
"2020-03-02","SXO   200619C970.00","SXO","SXO","TX60",970,"2020-06-19",0,0,0,0,0,0,34,0,24.6,0,0,0,0,0,0,34,0,0
"2020-03-02","SXO   200619C980.00","SXO","SXO","TX60",980,"2020-06-19",0,0,0,0,0,0,28.2,0,19.9,0,0,0,0,0,0,28.2,0,0
"2020-03-02","SXO   200619C990.00","SXO","SXO","TX60",990,"2020-06-19",0,0,0,0,0,0,23.1,0,15.9,0,0,0,0,0,0,23.1,0,0
"2020-03-02","SXO   200619C1000.00","SXO","SXO","TX60",1000,"2020-06-19",0,0,0,0,0,0,18.6,0,12.5,0,0,0,0,0,0,18.6,0,0.217
"2020-03-02","SXO   200619C1010.00","SXO","SXO","TX60",1010,"2020-06-19",0,0,0,0,0,0,14.8,0,9.7,0,0,0,0,0,0,14.8,0,0.586
"2020-03-02","SXO   200619C1020.00","SXO","SXO","TX60",1020,"2020-06-19",0,0,0,0,0,0,11.6,0,7.4,0,0,0,0,0,0,11.6,0,0.874
"2020-03-02","SXO   200619C1030.00","SXO","SXO","TX60",1030,"2020-06-19",0,0,0,0,0,0,9,0,5.6,0,0,0,0,0,0,9,0,1.146
"2020-03-02","SXO   200619C1040.00","SXO","SXO","TX60",1040,"2020-06-19",0,0,0,0,0,0,6.8,0,4.1,0,0,0,0,0,0,6.8,0,1.407
"2020-03-02","SXO   200619C1050.00","SXO","SXO","TX60",1050,"2020-06-19",0,0,0,0,0,0,5.1,0,3,0,0,0,0,0,0,5.1,0,1.659
"2020-03-02","SXO   200619C1060.00","SXO","SXO","TX60",1060,"2020-06-19",0,0,0,0,0,0,3.8,0,2.2,0,0,0,0,0,0,3.8,0,1.902
"2020-03-02","SXO   200619C1070.00","SXO","SXO","TX60",1070,"2020-06-19",0,0,0,0,0,0,2.7,0,1.5,0,0,0,0,0,0,2.7,0,2.139
"2020-03-02","SXO   200619C1080.00","SXO","SXO","TX60",1080,"2020-06-19",0,0,0,0,0,0,2,0,1.1,0,0,0,0,0,0,2,0,2.37
"2020-03-02","SXO   200619C1090.00","SXO","SXO","TX60",1090,"2020-06-19",0,0,0,17.3,0,1,1.4,0,0.7,0,0,0,0,0,0,1.4,0,17.46
"2020-03-02","SXO   200619C1100.00","SXO","SXO","TX60",1100,"2020-06-19",0,0,0,0,0,0,121.03,0,137.85,0,0,0,0,0,0,121.03,0,3.388
"2020-03-02","SXO   200717C990.00","SXO","SXO","TX60",990,"2020-07-17",0,0,25.9,45.95,1,1,23.1,0,15.9,0,0,0,0,0,0,23.1,0,13.973
"2020-03-02","SXO   200717C1000.00","SXO","SXO","TX60",1000,"2020-07-17",0,0,21.2,41.25,1,1,18.6,0,12.5,0,0,0,0,0,0,18.6,0,14.004
"2020-03-02","SXO   200717C1010.00","SXO","SXO","TX60",1010,"2020-07-17",0,0,16.85,36.9,1,1,14.8,0,9.7,0,0,0,0,0,0,14.8,0,13.99
"2020-03-02","SXO   200717C1020.00","SXO","SXO","TX60",1020,"2020-07-17",0,0,13,33.05,1,1,11.6,0,7.4,0,0,0,0,0,0,11.6,0,13.998
"2020-03-02","SXO   200717C1030.00","SXO","SXO","TX60",1030,"2020-07-17",0,0,9.6,29.65,1,1,9,0,5.6,0,0,0,0,0,0,9,0,14.016
"2020-03-02","SXO   200717C1040.00","SXO","SXO","TX60",1040,"2020-07-17",0,0,6.55,26.6,1,1,6.8,0,4.1,0,0,0,0,0,0,6.8,0,14.011
"2020-03-02","SXO   200717C1050.00","SXO","SXO","TX60",1050,"2020-07-17",0,0,3.95,24,1,1,5.1,0,3,0,0,0,0,0,0,5.1,0,14.04
"2020-03-02","SXO   200717C1060.00","SXO","SXO","TX60",1060,"2020-07-17",0,0,1.65,21.7,1,1,3.8,0,2.2,0,0,0,0,0,0,3.8,0,14.047
"2020-03-02","SXO   200717C1070.00","SXO","SXO","TX60",1070,"2020-07-17",0,0,0,19.8,0,1,2.7,0,1.5,0,0,0,0,0,0,2.7,0,14.173
"2020-03-02","SXO   200717C1080.00","SXO","SXO","TX60",1080,"2020-07-17",0,0,0,18.15,0,1,2,0,1.1,0,0,0,0,0,0,2,0,14.726
"2020-03-02","SXO   200717C1090.00","SXO","SXO","TX60",1090,"2020-07-17",0,0,0,16.7,0,1,1.4,0,0.7,0,0,0,0,0,0,1.4,0,15.265
"2020-03-02","SXO   200717C1100.00","SXO","SXO","TX60",1100,"2020-07-17",0,0,0,15.5,0,1,121.03,0,137.85,0,0,0,0,0,0,121.03,0,15.817
"2020-03-02","SXO   200717C1110.00","SXO","SXO","TX60",1110,"2020-07-17",0,0,0,14.45,0,1,0,0,0,0,0,0,0,0,0,0,0,16.363
"2020-03-02","SXO   200717C1120.00","SXO","SXO","TX60",1120,"2020-07-17",0,0,0,13.65,0,1,0,0,0,0,0,0,0,0,0,0,0,16.949
"2020-03-02","SXO   200717C1130.00","SXO","SXO","TX60",1130,"2020-07-17",0,0,0,12.95,0,1,0,0,0,0,0,0,0,0,0,0,0,17.531
"2020-03-02","SXO   200320P815.00","SXO","SXO","TX60",815,"2020-03-20",1,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.1,1083,22.534
"2020-03-02","SXO   200320P960.00","SXO","SXO","TX60",960,"2020-03-20",1,0,0,0,0,0,1.3,0,5.2,0,0,0,0,0,0,1.3,0,3.518
"2020-03-02","SXO   200320P970.00","SXO","SXO","TX60",970,"2020-03-20",1,0,0,0,0,0,2.9,0,9.2,0,0,0,0,0,0,2.9,100,2.319
"2020-03-02","SXO   200320P980.00","SXO","SXO","TX60",980,"2020-03-20",1,0,0,0,0,0,5.8,0,14.7,0,0,0,0,0,0,5.8,0,1.178
"2020-03-02","SXO   200320P990.00","SXO","SXO","TX60",990,"2020-03-20",1,0,0,0,0,0,10.2,0,21.6,0,0,0,0,0,0,10.2,0,0
"2020-03-02","SXO   200320P1000.00","SXO","SXO","TX60",1000,"2020-03-20",1,0,0,0,0,0,16.2,0,29.7,0,0,0,0,0,0,16.2,200,0
"2020-03-02","SXO   200320P1010.00","SXO","SXO","TX60",1010,"2020-03-20",1,0,0,0,0,0,23.6,0,38.7,0,0,0,0,0,0,23.6,0,0
"2020-03-02","SXO   200320P1020.00","SXO","SXO","TX60",1020,"2020-03-20",1,0,0,0,0,0,32.2,0,48.2,0,0,0,0,0,0,32.2,1020,0
"2020-03-02","SXO   200320P1030.00","SXO","SXO","TX60",1030,"2020-03-20",1,0,0,0,0,0,41.5,0,57.9,0,0,0,0,0,0,41.5,0,0
"2020-03-02","SXO   200320P1040.00","SXO","SXO","TX60",1040,"2020-03-20",1,0,0,0,0,0,51.2,0,67.85,0,0,0,0,0,0,51.2,0,0
"2020-03-02","SXO   200320P1050.00","SXO","SXO","TX60",1050,"2020-03-20",1,0,0,0,0,0,61.03,0,77.85,0,0,0,0,0,0,61.03,0,0
"2020-03-02","SXO   200320P1060.00","SXO","SXO","TX60",1060,"2020-03-20",1,0,0,0,0,0,71.03,0,87.85,0,0,0,0,0,0,71.03,0,0
"2020-03-02","SXO   200320P1070.00","SXO","SXO","TX60",1070,"2020-03-20",1,0,0,0,0,0,81.03,0,97.85,0,0,0,0,0,0,81.03,0,0
"2020-03-02","SXO   200320P1080.00","SXO","SXO","TX60",1080,"2020-03-20",1,0,0,0,0,0,91.03,0,107.85,0,0,0,0,0,0,91.03,0,0
"2020-03-02","SXO   200320P1090.00","SXO","SXO","TX60",1090,"2020-03-20",1,0,0,0,0,0,101.03,0,117.85,0,0,0,0,0,0,101.03,0,0
